"full.date","ID","Total_hits","Diff_logger","Rhodo","Logstump","cover","Bamboo","Distance","Distance20","Act_time","Activity","Activity20","Moon","Sex","season","season.n","datalog","trap"
2010-04-14,"M200",1,1,1,0,1,0,0,0,0,0,0,0.6,"F","EBS",1,5,1
2010-04-14,"M202",1,1,1,0.0284294157388831,1,0,0,0,0,0,0,0.6,"F","EBS",1,5,1
2010-04-14,"M237",2,2,0.5,0.429761189322429,0.5,0,22.3606797749979,22.3606797749979,151.433333333333,0.147660223035425,0.147660223035425,0.6,"F","EBS",1,5,1
2010-04-14,"M238",2,2,0,0.523974205238313,0,0,41.2310562561766,41.2310562561766,124.066666666667,0.332329846234631,0.332329846234631,0.6,"M","EBS",1,5,1
2010-04-14,"M239",2,1,0,0.463684907263873,0,0,0,0,12.0833333333333,0,0,0.6,"M","EBS",1,5,1
2010-04-14,"M240",1,1,1,0,1,0,0,0,0,0,0,0.6,"F","EBS",1,5,1
2010-04-14,"M252",1,1,1,0,1,0,0,0,0,0,0,0.6,"F","EBS",1,5,1
2010-04-14,"M257",1,1,1,0,1,0,0,0,0,0,0,0.6,"M","EBS",1,5,1
2010-04-15,"M118",1,1,1,0,1,0,0,0,0,0,0,0.3,"M","EBS",1,5,1
2010-04-15,"M137",1,1,1,0,1,0,0,0,0,0,0,0.3,"M","EBS",1,5,1
2010-04-15,"M141",2,1,1,0,1,0,0,20,33.8333333333333,0,0.591133004926108,0.3,"M","EBS",1,5,1
2010-04-15,"M144",1,1,0,0.0988427815360916,0,0,0,0,0,0,0,0.3,"F","EBS",1,5,1
2010-04-15,"M145",4,1,0,0.0988427815360916,0,0,0,40,89.95,0,0.444691495275153,0.3,"M","EBS",1,5,1
2010-04-15,"M148",2,1,0,0.113485287611498,0,0,0,20,18.9833333333333,0,1.05355575065847,0.3,"M","EBS",1,5,1
2010-04-15,"M240",2,1,1,0,1,0,0,20,59,0,0.338983050847458,0.3,"F","EBS",1,5,1
2010-04-15,"M252",1,1,1,0,1,0,0,0,0,0,0,0.3,"F","EBS",1,5,1
2010-04-15,"M257",1,1,1,0,1,0,0,0,0,0,0,0.3,"M","EBS",1,5,1
2010-04-16,"M118",2,2,1,0,1,0,36.0555127546399,36.0555127546399,198.45,0.181685627385437,0.181685627385437,2.1,"M","EBS",1,5,1
2010-04-16,"M137",1,1,1,0,1,0,0,0,0,0,0,2.1,"M","EBS",1,5,1
2010-04-16,"M141",1,1,1,0,1,0,0,0,0,0,0,2.1,"M","EBS",1,5,1
2010-04-16,"M144",3,2,0,0.110226989522971,0,0,50,70,298.833333333333,0.167317345231456,0.234244283324038,2.1,"F","EBS",1,5,1
2010-04-16,"M145",1,1,0,0.0988427815360916,0,0,0,0,0,0,0,2.1,"M","EBS",1,5,1
2010-04-16,"M148",1,1,0,0.113485287611498,0,0,0,0,0,0,0,2.1,"M","EBS",1,5,1
2010-04-16,"M239",2,2,0.5,0.355964201433729,0.5,0,31.6227766016838,31.6227766016838,30.9666666666667,1.02118761899948,1.02118761899948,2.1,"M","EBS",1,5,1
2010-04-16,"M252",3,2,0.666666666666667,0.371547160291587,0.666666666666667,0,58.309518948453,78.309518948453,75.5,0.772311509251033,1.03721217150269,2.1,"F","EBS",1,5,1
2010-04-16,"M257",4,2,1,0,1,0,36.0555127546399,76.0555127546399,278.533333333333,0.129447748042029,0.273057130521685,2.1,"M","EBS",1,5,1
2010-04-17,"M148",1,1,0,0.290269549771461,0,0,0,0,0,0,0,6.1,"M","EBS",1,5,1
2010-04-17,"M202",1,1,1,0,1,0,0,0,0,0,0,6.1,"F","EBS",1,5,1
2010-04-17,"M239",1,1,1,0,1,0,0,0,0,0,0,6.1,"M","EBS",1,5,1
2010-04-17,"M252",2,1,0,1.11464148087476,0,0,0,0,9.16666666666667,0,0,6.1,"F","EBS",1,5,1
2010-04-17,"M257",1,1,1,0,1,0,0,0,0,0,0,6.1,"M","EBS",1,5,1
2010-04-18,"M118",4,2,1,0,1,0,140,160,201.75,0.693928128872367,0.793060718711276,12.3,"M","EBS",1,5,1
2010-04-18,"M137",2,1,1,0,1,0,0,20,61.0166666666667,0,0.327779295274515,12.3,"M","EBS",1,5,1
2010-04-18,"M141",1,1,1,0,1,0,0,0,0,0,0,12.3,"M","EBS",1,5,1
2010-04-18,"M142",1,1,1,0,1,0,0,0,0,0,0,12.3,"F","EBS",1,5,1
2010-04-18,"M148",3,2,0.666666666666667,0.096756516590487,0.666666666666667,0,31.6227766016838,51.6227766016838,316.85,0.0998036187523554,0.162924969549262,12.3,"M","EBS",1,5,1
2010-04-18,"M202",2,1,1,0,1,0,0,20,41.1,0,0.48661800486618,12.3,"F","EBS",1,5,1
2010-04-18,"M252",1,1,1,0,1,0,0,0,0,0,0,12.3,"F","EBS",1,5,1
2010-04-18,"M257",2,1,1,0,1,0,0,20,49.6666666666667,0,0.402684563758389,12.3,"M","EBS",1,5,1
2010-04-19,"M141",1,1,1,0,1,0,0,0,0,0,0,20.6,"M","EBS",1,5,1
2010-04-19,"M202",1,1,1,0,1,0,0,0,0,0,0,20.6,"F","EBS",1,5,1
2010-04-19,"M252",1,1,0,4.13122598589356,0,0,0,0,0,0,0,20.6,"F","EBS",1,5,1
2010-04-19,"M257",2,1,1,0,1,0,0,20,225.35,0,0.0887508320390504,20.6,"M","EBS",1,5,1
2010-04-20,"84D4E",1,1,0,1.81571577164098,0,0,0,0,0,0,0,30.6,"M","EBS",1,5,1
2010-04-20,"M118",1,1,0,0.0834084620143227,0,0,0,0,0,0,0,30.6,"M","EBS",1,5,1
2010-04-20,"M141",4,3,0.25,1.26274099476796,0.25,0,126.083869998562,126.083869998562,160.333333333333,0.786385883566917,0.786385883566917,30.6,"M","EBS",1,5,1
2010-04-20,"M144",4,2,0,0.360591593981174,0,0,102.95630140987,142.95630140987,184.083333333333,0.559291813906039,0.776584706617673,30.6,"F","EBS",1,5,1
2010-04-20,"M145",3,2,0,0.56714744138797,0,0,14.142135623731,34.142135623731,156.666666666667,0.090268950789772,0.217928525257857,30.6,"M","EBS",1,5,1
2010-04-20,"M148",2,2,0.5,1.53731836778169,0.5,0,40,40,223.8,0.178731009830206,0.178731009830206,30.6,"M","EBS",1,5,1
2010-04-20,"M252",5,2,0,0.347491074761621,0,0,20,80,128.283333333333,0.155904898012213,0.62361959204885,30.6,"F","EBS",1,5,1
2010-04-20,"M257",1,1,1,0,1,0,0,0,0,0,0,30.6,"M","EBS",1,5,1
2010-04-22,"M118",1,1,0,1.5305634678321,0,0,0,0,0,0,0,53.5,"M","EBS",1,5,1
2010-04-22,"M141",2,1,1,0,1,0,0,0,10.7833333333333,0,0,53.5,"M","EBS",1,5,1
2010-04-22,"M257",2,1,1,0,1,0,0,20,94.2666666666667,0,0.212164073550212,53.5,"M","EBS",1,5,1
2010-04-23,"M118",3,2,0,2.73084149346941,0,0,63.2455532033676,83.2455532033676,108.916666666667,0.580678376771546,0.764305002632296,65.1,"M","EBS",1,5,1
2010-04-23,"M141",2,1,0,0.0739828255953379,0,0,0,20,36,0,0.555555555555556,65.1,"M","EBS",1,5,1
2010-04-23,"M144",1,1,0,0.0739828255953379,0,0,0,0,0,0,0,65.1,"F","EBS",1,5,1
2010-04-23,"M148",1,1,0,0.440803907959516,0,0,0,0,0,0,0,65.1,"M","EBS",1,5,1
2010-04-23,"M252",2,1,0,0.0739828255953379,0,0,0,20,26.2333333333333,0,0.762388818297332,65.1,"F","EBS",1,5,1
2010-04-23,"M257",1,1,0,0.0739828255953379,0,0,0,0,0,0,0,65.1,"M","EBS",1,5,1
2010-04-24,"M118",4,2,0,2.06662682650089,0,0,189.736659610103,189.736659610103,313.866666666667,0.604513571400072,0.604513571400072,75.9,"M","EBS",1,5,1
